number;category;answer;question;m;ignore
10000;AARD;abidjan;regeringszetel vroegere hfd.stad Ivoorkust,off.hoofdstad:Yamoussoukro;3;
10001;AARD;abuja;wat is de nieuwe hoofdstad van Nigeria sinds 2004;3;
10002;AARD;acapulco;bekendste strand van Mexico;2;
10003;AARD;achtkarspelen;in welke gemeente ligt Buitenpost;3;
10004;AARD;acquoy;Geld.plaats met scheve toren,115 cm.uit het land,bij kerk graf van mw.Pisa;3;
10005;AARD;adriatische;straat van Otranto is zeestraat tussen Ionische en ..zee;3;
10006;AARD;afsluitdijk;"waar monument met opschrift ""een volk dat leeft,bouwt aan zijn toekomst""";3;
10007;AARD;agulhas;welke kaap (Port.voor naald) is geografisch gezien zuid.punt v.Afrika;3;
10008;AARD;akaba;de enige Jordaanse havenstad (aan de Rode Zee);2;
10009;AARD;alabama;van welke Am.staat is Montgomery de hoofdstad;3;
10010;AARD;alaska;door welke Am. staat stroomt de Yukon ;2;
10011;AARD;alaska;in oppervlakte gemeten de grootste staat VS;3;
10012;AARD;alaska;meest westelijke vd Am.staten;2;
10013;AARD;alaska;waarvan is Juneau de hoofdstad;3;
10014;AARD;albany;wat is de hoofdstad vd Am.staat New-York;3;
10015;AARD;albion;bijnaam Engeland nav de witte rotsen aan de Zuidkust;2;
10016;AARD;albrandswaard;welke gemeente vormen Poortugaal en Rhoon samen;3;
10017;AARD;albuquerque;grootste en belangrijkste stad in Am.staat New-Mexico maar niet hoofdstad;3;
10018;AARD;algiers;bij welke stad ligt het vliegveld Houari Boumedienne Airport;3;
10019;AARD;alkmaar;welke NH-stad staat bekend als de kaasstad;1;
10020;AARD;alkmaar;wijken:Oudorp,de Mare,Huiswaard,de Hoef;3;
10021;AARD;almelo;wijken:Schelfhorst,de Riet,Windmolenbroek,Aalderinkshoek;3;
10022;AARD;almere;wijken:Waterwijk,Muziekwijk,Kruidenwijk;1;
10023;AARD;alphen a/d rijn;"in welke plaats vinden wij park ""Archeon""";2;
10024;AARD;amazone;langste rivier van Zuid-Amerika;1;
10025;AARD;amazone;van welke rivier zijn de Madeira en Maranon zijrivieren;2;
