number;category;answer;question;m;ignore
1;AARD;aardrijkskunde;Wat is de gewone Nederlandse naam voor geografie?;1;
2;AARD;abessinie;Wat is de vroegere naam voor Ethiopië?;2;
3;AARD;aboriginals;Wie zijn de oorspronkelijke bewoners van Australië?;2;
4;AARD;abu dhabi;Wat is de hoofdstad van Verenigde Arabische Emiraten?;2;
5;AARD;aconcagua;Wat is de hoogste berg van de Andes?;3;
6;AARD;addis abbeba;Wat is de hoofdstad van Ethiopië?;2;
7;AARD;afganistan;Van welk land is Kabul de hoofdstad?;1;
8;AARD;agra;In welke Indiase plaats vinden we de Taj-Mahal?;3;
9;AARD;ajaccio;Wat is de hoofdstad van Corsica?;3;
10;AARD;albanie;Van welk land is Tirana de hoofdstad?;1;
11;AARD;algarve;Hoe wordt de meest zuidelijke streek van Portugal genoemd?;2;
12;AARD;almere;Waar vinen we de wijken: de Wierden, de Gouwen, de Grienden?;1;
13;AARD;ambleve;In welke rivier zijn de watervallen van Coo?;2;
14;AARD;amersfoort;Wat is de keistad?;1;
15;AARD;amersfoort;In welke stad ontstaat de Eem?;2;
16;AARD;amman;Wat is de hoofdstad van Jordanie?;2;
17;AARD;amstel;Over welk water gaat de Magere Brug?;1;
18;AARD;andorra;Hoe heet het dwergstaatje in de Pyreneeen?;1;
19;AARD;angola;Van welk land is Luanda de hoofdstad?;3;
20;AARD;ani-ani;spec.Indon.mesje waarmee rijsthalmen bij oogst worden afgesneden;3;x
21;AARD;argentinie;Bij welk land hoort Vuurland?;2;
22;AARD;argentinie;In welk land vinden wij de Aconcagua (de hoogste berg van de Andes)?;2;
23;AARD;arnhem;Waar is het Openluchtmuseum?;1;
24;AARD;arnhem;Waar vinden wij Burgers Zoo?;1;
25;AARD;arnhem;Waar vinden wij: de Eusebiuskerk, Musis Sacrum, Sonsbeek?;1;
26;AARD;arnhem;Waar vinden we: Steenstraat,Ketelstraat,Velperplein?;1;
27;AARD;arno;Over welke rivier gaat de Ponte Vecchio?;3;
28;AARD;arno;Welke rivier stroomt door Florence?;2;
29;AARD;asuncion;Wat is de hoofdstad van Paraguay?;2;
30;AARD;athene;In welke stad vinden wij de Akropolis?;1;
31;AARD;athene;In welke stad vinden wij het Parthenon?;1;
32;AARD;athene;Van welke stad is Piraeus de havenstad?;1;
33;AARD;austin;Wat is de hoofdstad van Texas?;3;
34;AARD;azerbeidjan;Van welk land is Baku de hoofdstad?;3;
35;AARD;bakoe;Wat is de hoofdstad van Azerbeidjan?;3;
36;AARD;balearen;Tot welke eilandengroep behoort Mallorca?;2;
37;AARD;bali;Van welk eiland is Denpasar de hoofdstad?;2;
38;AARD;bangkok;Wat is de hoofdstad van Thailand?;1;
39;AARD;bangladesh;Wat is de naam van het land dat tot 1971 Oost-Pakistan heette?;2;
40;AARD;beirut;Wat is de hoofdstad van Libanon?;2;
41;AARD;belize;Wat is de huidige naam van Brits Honduras?;3;
42;AARD;beringstraat;Hoe wordt de zeestraat tussen Alaska en Rusland genoemd?;2;
43;AARD;birma;Onder welke naam was Myanmar tot 1989 bekend?;2;
44;AARD;borssele;Wat is de naam van de enige, nog werkende kerncentrale in Nederland (in Zeeland)?;2;
45;AARD;california;Wwelke Amerikaanse staat heeft meeste inwoners?;1;
46;AARD;cambodja;In welk land vinden wij tempel van Angkor (de grootste ter wereld)?;2;
47;AARD;cambodja;Van welk land is Pnom Penh de hoofdstad?;2;
48;AARD;canarische;Tot welke eilandengroep behoort Lanzarote?;2;
49;AARD;canarische;Tot welke eilandengroep behoort Tenerife?;2;
50;AARD;canberra;Wat is de hoofdstad van Australie?;1;
51;AARD;caracas;Wat is de hoofdstad van Venezuela?;2;
52;AARD;cascade;Hoe wordt een waterval genoemd,waarbij water trapsgewijs naar beneden valt (denk aan het Franse woord)?;3;
53;AARD;ceylon;Wat is de vroegere naam van Sri Lanka?;2;
54;AARD;changi;Hoe heet de internationale luchthaven van Singapore?;3;
55;AARD;chemnitz;Wat is de huidige naam van de stad die in DDR Karl-Marxstadt heette?;3;
56;AARD;chennai;Wat is de naam van de Indiase stad Madras sinds 1996?;3;
57;AARD;colombia;In welk land vinden wij de (vulkaan) Nevado de Ruiz, voor het laatst uitgebarsten in1985?;3;
58;AARD;colorado;Door welke rivier is de Grand Canyon gevormd?;1;
59;AARD;costarica;Van welk land is San Jose de hoofdstad?;3;
60;AARD;damaskus;Wat is de hoofdstad van Syrie?;1;
61;AARD;dar-es-salaam;Wat is de regeringszetel / belangrijkste stad van Tanzania? (de officiele hoofdstad is Dodoma);3;
62;AARD;denemarken;Bij welk land hoort Groenland?;2;
63;AARD;denpasar;Wat is de hoofdstad van het eiland Bali?;3;
64;AARD;deventer;Wat is de koekstad?;2;
65;AARD;dnjepr;Welke rivier stroomt door Kiev?;2;
66;AARD;dusseldorf;Wat is de hoofdstad van de Duitse deelstaat Nordrhein-Westfalen?;2;
67;AARD;ebro;Van welke revier zijn de Aragon, Jalon en Segre zijrivieren?;3;
68;AARD;ecuador;Van welk land is Quito de hoofdstad?;2;
69;AARD;edinburgh;Wat is de hoofdstad van Schotland?;2;
70;AARD;eelde;Hoe heet het vliegveld in Drenthe?;1;
71;AARD;eem;Welke rivier ontstaat in Amersfoort?;2;
72;AARD;efteling;In welk pretpark bevindt zich de Python?;1;
73;AARD;eilat;Hoe heet de bekendste badplaats van Israel aan Rode Zee?;2;
74;AARD;eindhoven;In welke stad vinden we: Tivoli,Stratum,Woensel?;2;
75;AARD;eindhoven;Waar vinden we de wijken: Gestel, Tongelre, Achtste Barrier?;3;
76;AARD;eindhoven;Welke stad in Nederland wordt de lichtstad genoemd?;1;
77;AARD;elbe;Van welke review is de Moldau een zijrivier?;2;
